,y,x
2019Q1,0.09744100786045382,15.0
2019Q2,0.06439812124694402,12.0
2019Q3,0.10767378689219165,18.0
2019Q4,0.12081614777100617,45.0
2020Q1,0.2089270786859328,87.0
2020Q2,0.18755370186085196,85.0
2020Q3,0.2689920283710713,70.0
2020Q4,0.24343239727804378,60.0
2021Q1,0.5743140789522145,50.0
2021Q2,0.9345572835223518,42.0
2021Q3,0.8143344114828662,35.0
2021Q4,0.5267390350548938,30.0
2022Q1,0.22669440922805206,28.0
2022Q2,0.3463389435579764,25.0
2022Q3,0.6308798420583109,22.0
2022Q4,0.6755479438571895,20.0
2023Q1,0.12754851547738294,18.0
2023Q2,0.20032545935135654,16.0
2023Q3,0.1434327191560532,15.0
2023Q4,0.12623641949202796,14.0
2024Q1,0.09577521147266661,12.0
2024Q2,0.13717054989455352,10.0
2024Q3,0.055682980684445396,8.0
2024Q4,0.09431680920964954,6.0
2025Q1,0.040120627999029004,5.0
